course_id,course_title,category,skill_tags,duration_hours,level,source
C062,Sustainable Development Goals (SDGs),Statistical,SDG Indicators,16,intermediate,igot_mock
C063,Establishment Rules & Service Matters,Functional,Establishment Rules,12,beginner,igot_mock
C064,Stress Management at Workplace,Behavioural,Stress Management,8,beginner,igot_mock
C065,Design Thinking for Innovation,Behavioural,Decision Making,16,intermediate,igot_mock
C066,E-Office Usage and Workflows,Technical,Digital Public Infrastructure,8,beginner,igot_mock
C067,Introduction to Econometrics,Statistical,National Accounts,24,intermediate,igot_mock
C068,Vigilance Awareness & Procedures,Functional,Vigilance,8,beginner,igot_mock
C069,Crisis and Disaster Management,Statistical,Disaster Management,16,intermediate,igot_mock
C070,Basic Accounting Principles,Functional,Government Accounts,16,beginner,igot_mock
C071,Data Visualization Tools (iGOT),Technical,Data Visualization,20,intermediate,igot_mock
C072,Emotional Intelligence in Public Service,Behavioural,Leadership,12,intermediate,igot_mock
C073,Government Schemes Implementation,Statistical,Scheme Implementation,16,intermediate,igot_mock
C074,Prevention of Sexual Harassment (POSH),Functional,POSH Compliance,4,beginner,igot_mock
C075,Artificial Intelligence in Governance,Technical,AI/ML,20,intermediate,igot_mock
C076,Handling of unit-level data of NSS and its analysis,Statistical,"Data Quality Frameworks,Sampling",40,intermediate,real_nssta
C077,"Course on AI, AI-ready Data, Machine-readable Data",Technical,"AI/ML,Data Quality Frameworks",40,intermediate,real_nssta
C078,R and Python through ISI Delhi,Technical,"R,Python",480,advanced,real_nssta
C079,Handling Large Scale Data & Data Analytics using R,Technical,"R,Data Visualization",40,intermediate,real_nssta
C080,Application of Remote Sensing and Disaster Management,Technical,GIS,40,intermediate,real_nssta
C081,"Specialized Training in SDG, Data Analytics",Statistical,"SDG Indicators,Data Visualization",40,intermediate,real_nssta
C082,"Big Data, AI with Python, ML, AI-ready Data (ISS Probationary)",Technical,"AI/ML,Python,Data Quality Frameworks",120,advanced,real_nssta
C083,Essentials of Survey Design,Statistical,"Survey Design,Sampling",120,advanced,real_nssta
